Website,Treatment,FP,FCP,LT,Joules,Trial
64_apache,prefixed,0,456,711,9.0028224,5
64_apache,prefixed,0,526,688,17.466516,6
64_apache,prefixed,0,3784,3960,20.4516,7
64_apache,prefixed,0,379,677,9.156024,8
67_twitch,prefixed,0,331,7651,24.85656,0
67_twitch,prefixed,0,172,5927,20.4516,1
67_twitch,prefixed,0,175,1356,16.5186,2
67_twitch,prefixed,0,354,3153,19.188648,3
67_twitch,prefixed,0,483,2118,16.365024,4
67_twitch,prefixed,0,176,1438,14.5239588,5
67_twitch,prefixed,0,1994,14660,25.9578,6
67_twitch,prefixed,0,244,3563,23.379264,7
67_twitch,prefixed,0,188,1510,13.938552,8
68_csdn,prefixed,0,1064,2292,20.29428,0
68_csdn,prefixed,0,901,2145,11.972052,1
68_csdn,prefixed,0,633,1938,12.116412,2
68_csdn,prefixed,0,643,2031,11.8961136,3
68_csdn,prefixed,0,932,2112,11.783268,4
68_csdn,prefixed,0,1161,1977,11.2878216,5
68_csdn,prefixed,0,4257,7233,18.88272,6
68_csdn,prefixed,0,23089,23925,28.78956,7
71_w3,prefixed,0,306,393,7.15806,0
71_w3,prefixed,0,245,350,6.104016,1
71_w3,prefixed,0,392,396,6.0739416,2
71_w3,prefixed,0,294,410,6.3886536,3
71_w3,prefixed,0,371,381,6.37146,4
71_w3,prefixed,0,239,345,6.3099756,5
71_w3,prefixed,0,256,365,6.0267348,6
71_w3,prefixed,0,1908,1988,25.631424,7
71_w3,prefixed,0,295,416,6.372918,8
71_w3,prefixed,0,729,745,8.1062856,9
72_office365,prefixed,0,283,863,10.4169672,0
72_office365,prefixed,0,0,888,9.3312108,1
72_office365,prefixed,0,2265,2931,12.538404,2
72_office365,prefixed,0,4847,9407,24.54192,3
72_office365,prefixed,0,3404,9933,79.724736,4
72_office365,prefixed,0,632,1092,8.479548,5
72_office365,prefixed,0,1557,1931,10.099944,6
72_office365,prefixed,0,2125,902,9.4256244,7
72_office365,prefixed,0,748,1577,11.2015152,8
75_medium,prefixed,0,264,1115,7.3485252,0
75_medium,prefixed,0,275,1114,7.3969632,1
75_medium,prefixed,0,1027,2060,8.353692,2
75_medium,prefixed,0,479,2031,8.746992,3
75_medium,prefixed,0,199,5903,11.059596,4
75_medium,prefixed,0,315,1376,9.0752868,5
75_medium,prefixed,0,8245,24236,24.862248,6
75_medium,prefixed,0,261,1078,7.8363288,7
75_medium,prefixed,0,204,8962,11.311308,8
75_medium,prefixed,0,310,1128,7.3013184,9
76_forbes,prefixed,0,404,1221,8.727264,0
76_forbes,prefixed,0,479,1705,11.437164,1
76_forbes,prefixed,0,358,1072,8.511012,2
76_forbes,prefixed,0,651,3730,16.36128,3
76_forbes,prefixed,0,389,1069,8.4657528,4
76_forbes,prefixed,0,379,1069,8.2848744,5
76_forbes,prefixed,0,399,1103,11.188368,6
76_forbes,prefixed,0,3558,4384,11.250954,7
76_forbes,prefixed,0,378,1387,10.446048,8
77_sourceforge,prefixed,0,283,609,6.591708,0
77_sourceforge,prefixed,0,331,3952,9.722376,1
77_sourceforge,prefixed,0,981,1076,7.047936,2
77_sourceforge,prefixed,0,404,597,6.497316,3
77_sourceforge,prefixed,0,1361,1462,7.771608,4
77_sourceforge,prefixed,0,311,596,6.387192,5
77_sourceforge,prefixed,0,386,698,7.0180776,6
77_sourceforge,prefixed,0,0,1393,7.0814484,7
77_sourceforge,prefixed,0,1190,1295,8.5071168,8
77_sourceforge,prefixed,0,885,4118,10.320192,9
79_spotify,prefixed,0,346,466,8.25174,0
79_spotify,prefixed,0,296,421,7.710444,1
79_spotify,prefixed,0,3797,3945,9.900666,2
79_spotify,prefixed,0,2001,2014,11.1986208,3
79_spotify,prefixed,0,440,440,8.6073732,4
79_spotify,prefixed,0,324,451,7.7419152,5
79_spotify,prefixed,0,3460,3588,10.936242,6
79_spotify,prefixed,0,601,721,10.0235772,7
79_spotify,prefixed,0,902,1030,7.9779492,8
79_spotify,prefixed,0,404,413,7.6947084,9
82_imdb,prefixed,0,306,3205,12.03498,0
82_imdb,prefixed,0,257,3072,12.082176,1
82_imdb,prefixed,0,6335,11010,24.85656,2
82_imdb,prefixed,0,1192,6089,18.75312,3
82_imdb,prefixed,0,1427,4212,12.9976056,4
82_imdb,prefixed,0,243,3200,12.7143648,5
82_imdb,prefixed,0,919,3431,12.956328,6
82_imdb,prefixed,0,955,3511,18.410652,7
82_imdb,prefixed,0,16080,18925,25.9578,8
83_bongacams,prefixed,0,1024,2211,15.1936344,0
83_bongacams,prefixed,0,5915,6509,16.83324,1
83_bongacams,prefixed,0,1163,3869,25.32852,2
83_bongacams,prefixed,0,2519,3643,22.344552,3
83_bongacams,prefixed,0,1203,2239,13.68684,4
83_bongacams,prefixed,0,1955,3074,16.196544,5
83_bongacams,prefixed,0,751,1933,12.412548,6
83_bongacams,prefixed,0,716,1800,12.6042156,7
83_bongacams,prefixed,0,885,1960,12.412548,8
87_ebay,prefixed,0,991,1845,9.36054,0
87_ebay,prefixed,0,990,1690,9.8110404,1
87_ebay,prefixed,0,763,1430,9.98982,2
87_ebay,prefixed,0,492,1262,9.2778408,3
87_ebay,prefixed,0,534,1272,8.971344,4
87_ebay,prefixed,0,492,1720,9.2525328,5
87_ebay,prefixed,0,518,1246,10.9834488,6
87_ebay,prefixed,0,1214,1869,11.64168,7
87_ebay,prefixed,0,615,1304,10.7316792,8
88_aliexpress,prefixed,0,24566,585,6.447168,0
88_aliexpress,prefixed,0,0,513,6.245604,1
88_aliexpress,prefixed,0,246,559,6.308532,2
88_aliexpress,prefixed,0,274,512,6.2785044,3
88_aliexpress,prefixed,0,439,553,6.072552,4
88_aliexpress,prefixed,0,279,546,6.261336,5
88_aliexpress,prefixed,0,1122,535,6.372918,6
88_aliexpress,prefixed,0,1403,1622,12.8200356,7
88_aliexpress,prefixed,0,1161,568,6.308532,8
89_stackoverflow,prefixed,0,2433,2436,9.493308,0
89_stackoverflow,prefixed,0,4536,4539,10.2753468,1
89_stackoverflow,prefixed,0,4641,4643,10.2753468,2
89_stackoverflow,prefixed,0,3069,3202,8.96724,3
89_stackoverflow,prefixed,0,18275,18283,26.90172,4
89_stackoverflow,prefixed,0,256,743,6.6561588,5
89_stackoverflow,prefixed,0,386,747,6.451596,6
89_stackoverflow,prefixed,0,3175,3178,13.689972,7
89_stackoverflow,prefixed,0,546,737,6.5617452,8
89_stackoverflow,prefixed,0,20097,7830,10.571904,9
91_bbc,prefixed,0,418,1100,8.807904,0
91_bbc,prefixed,0,599,1136,8.1195696,1
91_bbc,prefixed,0,209,1451,8.290764,2
91_bbc,prefixed,0,435,1428,8.479548,3
91_bbc,prefixed,0,1407,2332,9.3904776,4
91_bbc,prefixed,0,2016,3200,12.9287448,5
91_bbc,prefixed,0,1159,1926,9.4570956,6
91_bbc,prefixed,0,790,1745,8.558208,7
91_bbc,prefixed,0,6178,8905,17.14788,8
91_bbc,prefixed,0,1520,2661,10.140174,9
92_archive,prefixed,0,306,505,5.789376,0
92_archive,prefixed,0,331,1560,6.717564,1
92_archive,prefixed,0,428,483,5.90085,2
92_archive,prefixed,0,733,914,5.979528,3
92_archive,prefixed,0,863,1178,6.277068,4
92_archive,prefixed,0,1321,1445,7.881732,5
92_archive,prefixed,0,1395,1511,7.866,6
92_archive,prefixed,0,528,631,6.953544,7
92_archive,prefixed,0,989,1096,9.122472,8
92_archive,prefixed,0,427,5717,9.376272,9
95_github,prefixed,0,241,475,8.8591428,0
95_github,prefixed,0,229,561,9.205326,1
95_github,prefixed,0,798,1281,17.61984,2
95_github,prefixed,0,790,953,13.498056,3
95_github,prefixed,0,347,692,11.2904064,4
95_github,prefixed,0,535,871,10.996668,5
95_github,prefixed,0,391,787,11.644344,6
95_github,prefixed,0,243,508,9.0794412,7
95_github,prefixed,0,500,803,10.5945084,8
96_weebly,prefixed,0,283,1297,8.3675088,0
96_weebly,prefixed,0,677,4846,25.16544,1
96_weebly,prefixed,0,439,1784,8.8591428,2
96_weebly,prefixed,0,482,3192,16.99056,3
96_weebly,prefixed,0,817,12833,16.52238,4
96_weebly,prefixed,0,279,2249,11.657412,5
96_weebly,prefixed,0,1522,8372,24.22728,6
96_weebly,prefixed,0,1040,2579,10.46178,7
96_weebly,prefixed,0,1289,3814,10.385172,8
97_yandex,prefixed,0,393,950,8.9063496,0
97_yandex,prefixed,0,531,1571,8.7017868,1
97_yandex,prefixed,0,412,6674,11.342772,2
97_yandex,prefixed,0,357,931,8.10198,3
97_yandex,prefixed,0,5111,6286,10.5113808,4
97_yandex,prefixed,0,314,879,8.5444308,5
97_yandex,prefixed,0,435,3252,10.4606208,6
97_yandex,prefixed,0,1022,1589,7.976124,7
97_yandex,prefixed,0,9387,28301,34.287912,8
97_yandex,prefixed,0,403,1421,7.110864,9
98_amazon,prefixed,0,324,1042,8.511012,0
98_amazon,prefixed,0,230,1049,8.733258,1
98_amazon,prefixed,0,424,1039,8.920044,2
98_amazon,prefixed,0,0,998,8.9378208,3
98_amazon,prefixed,0,608,1017,8.1982476,4
98_amazon,prefixed,0,1040,1220,13.3909956,5
98_amazon,prefixed,0,1550,1759,16.67592,6
98_amazon,prefixed,0,2650,2820,22.177044,7
98_amazon,prefixed,0,481,4173,12.1923,8
99_creativecommons,prefixed,0,282,1429,7.063668,0
99_creativecommons,prefixed,0,430,777,7.409772,1
99_creativecommons,prefixed,0,283,829,6.985008,2
99_creativecommons,prefixed,0,1680,1958,11.704608,3
99_creativecommons,prefixed,0,435,759,7.0834176,4
99_creativecommons,prefixed,0,492,1635,7.159698,5
99_creativecommons,prefixed,0,772,960,7.2698472,6
99_creativecommons,prefixed,0,639,949,10.976274,7
99_creativecommons,prefixed,0,708,990,8.49528,8
99_creativecommons,prefixed,0,696,1023,7.724412,9
100_who,stripped,0,661,2559,9.643716,0
100_who,stripped,0,636,2378,9.8470656,1
100_who,stripped,0,632,2814,11.028132,2
100_who,stripped,0,665,2374,10.162872,3
100_who,stripped,0,3776,6016,13.2808464,4
100_who,stripped,0,1824,4404,13.875624,5
100_who,stripped,0,705,5715,14.0371488,6
100_who,stripped,0,685,3958,11.2194828,7
100_who,stripped,0,1314,4207,16.36128,8
10_linkedin,stripped,0,306,329,7.4727,0
10_linkedin,stripped,0,246,335,6.969276,1
10_linkedin,stripped,0,2808,334,6.9201288,2
10_linkedin,stripped,0,737,327,6.749028,3
10_linkedin,stripped,0,480,643,8.9850276,4
10_linkedin,stripped,0,345,322,6.9079284,5
10_linkedin,stripped,0,1242,1209,10.807884,6
10_linkedin,stripped,0,606,586,7.31538,7
10_linkedin,stripped,0,204,360,6.766308,8
10_linkedin,stripped,0,360,331,6.638904,9
14_apple,stripped,0,991,1093,8.636868,0
14_apple,stripped,0,602,1159,9.549324,1
14_apple,stripped,0,746,1147,9.75384,2
14_apple,stripped,0,6942,7277,18.56376,3
14_apple,stripped,0,660,1239,10.005552,4
14_apple,stripped,0,770,1154,8.904312,5
14_apple,stripped,0,768,1290,13.5798228,6
14_apple,stripped,0,1369,1719,30.36276,7
14_apple,stripped,0,701,1290,10.1022552,8
15_live,stripped,0,412,391,6.465852,0
15_live,stripped,0,433,441,10.414584,1
15_live,stripped,0,1219,1226,14.095872,2
15_live,stripped,0,317,327,6.8607216,3
15_live,stripped,0,492,420,7.3642608,4
15_live,stripped,0,455,459,8.2297188,5
15_live,stripped,0,2125,2128,11.1565404,6
15_live,stripped,0,829,837,11.3611032,7
15_live,stripped,0,701,708,9.1539288,8
17_yahoo,stripped,0,555,1411,11.959056,0
17_yahoo,stripped,0,1361,2183,17.30916,1
17_yahoo,stripped,0,412,1438,10.965204,2
17_yahoo,stripped,0,2517,3390,19.19304,3
17_yahoo,stripped,0,1400,2558,15.10272,4
17_yahoo,stripped,0,2472,3387,13.262076,5
17_yahoo,stripped,0,608,1383,11.874942,6
17_yahoo,stripped,0,1161,1561,11.972052,7
17_yahoo,stripped,0,1727,2648,24.39018,8
18_amazon,stripped,0,0,1172,9.8325,0
18_amazon,stripped,0,344,1197,8.5601664,1
18_amazon,stripped,0,230,1157,8.526744,2
18_amazon,stripped,0,2916,3411,30.6774,3
18_amazon,stripped,0,8295,13801,31.614084,4
18_amazon,stripped,0,406,1238,8.3241324,5
18_amazon,stripped,0,296,1184,8.385156,6
18_amazon,stripped,0,188,1579,12.601332,7
18_amazon,stripped,0,803,1323,36.349236,8
19_doubleclick,stripped,0,241,1106,7.677216,0
19_doubleclick,stripped,0,850,13817,18.073728,1
19_doubleclick,stripped,0,239,1536,7.928928,2
19_doubleclick,stripped,0,6557,6664,23.120748,3
19_doubleclick,stripped,0,353,2033,10.508976,4
19_doubleclick,stripped,0,324,1210,7.5058812,5
19_doubleclick,stripped,0,4920,4991,23.44068,6
19_doubleclick,stripped,0,4070,4170,19.35036,7
19_doubleclick,stripped,0,546,1395,7.4289024,8
19_doubleclick,stripped,0,1607,2254,9.4834152,9
22_adobe,stripped,0,24566,4064,9.9515304,0
22_adobe,stripped,0,737,1087,7.535628,1
22_adobe,stripped,0,333,1060,7.661484,2
22_adobe,stripped,0,1078,1750,8.542476,3
22_adobe,stripped,0,527,1133,7.598556,4
22_adobe,stripped,0,4311,6158,10.131408,5
