"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"130","3_youtube","stripped",584.6,584.8,4351,5.58486,4,6.90577717225047,1283.74226364945,4317.2677463378
"131","3_youtube","stripped",609.2,609.2,4171,5.9480568,5,6.5927096863747,1086.34577860844,4316.40718740509
"132","3_youtube","stripped",608.9,609.1,4017,5.4929808,6,6.22841254109439,943.444870181679,4314.30361196007
"133","3_youtube","stripped",590.5,590.6,4194,6.2799408,7,6.24558230713705,836.622705402598,4313.32303148262
"134","3_youtube","stripped",612.4,612.5,4078,5.4772416,8,5.98889776947861,768.409989308096,4311.14477286032
"135","41_wordpress","stripped",819.1,819.2,1300,3.5247744,0,3.76181636644451,497.211997391585,764.938210175918
"136","41_wordpress","stripped",762.3,762.4,1158,5.8064364,1,4.68396729802229,583.702465300528,840.944483792974
"137","41_wordpress","stripped",800.2,800.2,1027,3.523968,2,4.06925479358701,680.596845777475,897.17187786008
"138","41_wordpress","stripped",836,836.2,1204,3.728484,3,3.88294233523512,755.640833242731,1005.0101948392
"139","41_wordpress","stripped",784.8,784.9,1108,4.2643476,4,4.09277872466615,770.019400530466,1043.27469015535
"140","41_wordpress","stripped",842.2,842.3,1785,4.279104,5,4.19541769600848,805.709741040811,1324.66073373845
"141","41_wordpress","stripped",846.1,846.2,1014,3.7136016,6,3.92993762231395,825.727206957727,1205.8738847298
"142","41_wordpress","stripped",826.6,826.7,1098,4.352778,7,4.16293405408362,826.208283574673,1164.50303533056
"143","41_wordpress","stripped",806.9,807,1019,3.9339,8,4.03672882430699,816.708430299466,1108.63782799409
"144","41_wordpress","stripped",891.1,891.1,1094,3.728484,9,3.86687552539622,853.501064808424,1103.01529200134
"145","42_vk","stripped",2180,2180.1,4010,10.4484384,0,7.94168895788194,1146.13067886507,2544.58514116652
"146","42_vk","stripped",2276.9,781.7,4420,8.306496,1,8.02862960747915,1076.56273092498,3228.82593544034
"147","42_vk","stripped",2011.6,2011.9,3889,8.243568,2,8.09830082942335,1356.3637125828,3548.57645427573
"148","42_vk","stripped",2789.3,2789.4,4622,8.4342816,3,8.21965678493494,1855.87282776917,4100.60870460736
"149","42_vk","stripped",2142.2,2142.2,3695,7.32888,4,7.88475144250603,1961.49490269962,3889.19217515725
"150","42_vk","stripped",2537.6,2537.7,4322,8.65062,5,8.17706006599755,2178.65314967471,4115.47398461585
